# SYNTHETIC DATA — employee current-skill possession was not present in any source file and has been simulated using a tenure/training-based heuristic for MVP demonstration purposes only. This must NOT be presented to stakeholders as real observed skill data. Real deployment requires an actual skills inventory (HRIS export, LMS completion records, or self-assessment survey).
EmployeeNumber,JobRole,missing_skills,gap_count,total_required,gap_percentage,severity
1,Sales Executive,Speaking; Reading Comprehension; Bentley MicroStation; Eclipse IDE; Facebook,5,10,0.5,MEDIUM
2,Research Scientist,Reading Comprehension,1,10,0.1,LOW
4,Laboratory Technician,Reading Comprehension; Science; Google Docs; Microsoft Excel; Microsoft Office software,5,10,0.5,MEDIUM
5,Research Scientist,Speaking; Active Learning,2,10,0.2,LOW
7,Laboratory Technician,Speaking; Google Docs,2,10,0.2,LOW
8,Laboratory Technician,Reading Comprehension; Active Listening; Critical Thinking; Speaking; Google Docs,5,10,0.5,MEDIUM
10,Laboratory Technician,Critical Thinking; Google Docs; Microsoft Excel; Microsoft Outlook,4,10,0.4,MEDIUM
11,Laboratory Technician,Reading Comprehension; Speaking; Science; Google Docs; MEDITECH software,5,10,0.5,MEDIUM
12,Manufacturing Director,Critical Thinking; Adobe Photoshop,2,10,0.2,LOW
13,Healthcare Representative,None,0,10,0.0,LOW
14,Laboratory Technician,Science,1,10,0.1,LOW
15,Laboratory Technician,Critical Thinking,1,10,0.1,LOW
16,Research Scientist,Critical Thinking; Reading Comprehension; Amazon Elastic Compute Cloud EC2; Amazon Redshift,4,10,0.4,MEDIUM
18,Laboratory Technician,Science; MEDITECH software; Microsoft Excel; Microsoft Outlook,4,10,0.4,MEDIUM
19,Laboratory Technician,Reading Comprehension,1,10,0.1,LOW
20,Manufacturing Director,Critical Thinking; Active Listening,2,10,0.2,LOW
21,Research Scientist,None,0,10,0.0,LOW
22,Laboratory Technician,Reading Comprehension; Critical Thinking; Science; MEDITECH software; Microsoft Office software,5,10,0.5,MEDIUM
24,Research Scientist,Active Listening; Speaking; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2,4,10,0.4,MEDIUM
26,Manufacturing Director,Speaking; Monitoring; Adobe InDesign; Adobe Photoshop; Autodesk AutoCAD,5,10,0.5,MEDIUM
27,Sales Representative,Writing,1,10,0.1,LOW
28,Research Director,None,0,10,0.0,LOW
30,Research Scientist,Critical Thinking; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,4,10,0.4,MEDIUM
31,Research Scientist,Critical Thinking; Amazon DynamoDB; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
33,Research Scientist,Reading Comprehension; Amazon Redshift; Amazon Web Services AWS CloudFormation,3,10,0.3,LOW
35,Sales Executive,Reading Comprehension; Adobe Creative Cloud software,2,10,0.2,LOW
36,Healthcare Representative,Speaking,1,10,0.1,LOW
39,Laboratory Technician,Reading Comprehension; Active Listening; Critical Thinking; Speaking; Science; Google Docs; MEDITECH software; Microsoft Excel; Microsoft Office software; Microsoft Outlook,10,10,1.0,HIGH
40,Healthcare Representative,Active Listening,1,10,0.1,LOW
41,Laboratory Technician,None,0,10,0.0,LOW
42,Sales Representative,Active Learning; Apple macOS; Microsoft Excel,3,10,0.3,LOW
45,Research Scientist,Speaking; Active Learning; Amazon DynamoDB,3,10,0.3,LOW
46,Research Scientist,Reading Comprehension; Active Learning; Amazon DynamoDB,3,10,0.3,LOW
47,Sales Representative,Speaking; HubSpot software; IBM SPSS Statistics,3,10,0.3,LOW
49,Sales Representative,Apple macOS; HubSpot software; Microsoft Office software,3,10,0.3,LOW
51,Research Scientist,Critical Thinking; Reading Comprehension; Active Listening; Amazon DynamoDB; Amazon Redshift; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software,7,10,0.7,HIGH
52,Sales Executive,Monitoring; Adobe Creative Cloud software; Bentley MicroStation,3,10,0.3,LOW
53,Laboratory Technician,Speaking; MEDITECH software; Microsoft Office software,3,10,0.3,LOW
54,Laboratory Technician,Active Listening; Speaking; Science; Google Docs; Microsoft Office software; Microsoft Outlook,6,10,0.6,MEDIUM
55,Laboratory Technician,Reading Comprehension; Speaking; Google Docs; MEDITECH software; Microsoft Office software; Microsoft Outlook,6,10,0.6,MEDIUM
56,Sales Executive,Speaking; Critical Thinking; Adobe Acrobat; Eclipse IDE,4,10,0.4,MEDIUM
57,Laboratory Technician,Active Listening; Critical Thinking,2,10,0.2,LOW
58,Research Director,None,0,10,0.0,LOW
60,Sales Executive,None,0,10,0.0,LOW
61,Research Scientist,Reading Comprehension; Active Learning; Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Redshift,5,10,0.5,MEDIUM
62,Sales Executive,None,0,10,0.0,LOW
63,Laboratory Technician,Active Listening; Critical Thinking; Speaking; Science; Microsoft Excel; Microsoft Outlook,6,10,0.6,MEDIUM
