# SYNTHETIC DATA — employee current-skill possession was not present in any source file and has been simulated using a tenure/training-based heuristic for MVP demonstration purposes only. This must NOT be presented to stakeholders as real observed skill data. Real deployment requires an actual skills inventory (HRIS export, LMS completion records, or self-assessment survey).
EmployeeNumber,skill_name,skill_type,has_skill
1,Active Listening,essential,1
1,Speaking,essential,0
1,Reading Comprehension,essential,0
1,Critical Thinking,essential,1
1,Monitoring,essential,1
1,Adobe Acrobat,software,1
1,Adobe Creative Cloud software,software,1
1,Bentley MicroStation,software,0
1,Eclipse IDE,software,0
1,Facebook,software,0
2,Critical Thinking,essential,1
2,Reading Comprehension,essential,0
2,Active Listening,essential,1
2,Speaking,essential,1
2,Active Learning,essential,1
2,Amazon DynamoDB,software,1
2,Amazon Elastic Compute Cloud EC2,software,1
2,Amazon Redshift,software,1
2,Amazon Web Services AWS CloudFormation,software,1
2,Amazon Web Services AWS software,software,1
4,Reading Comprehension,essential,0
4,Active Listening,essential,1
4,Critical Thinking,essential,1
4,Speaking,essential,1
4,Science,essential,0
4,Google Docs,software,0
4,MEDITECH software,software,1
4,Microsoft Excel,software,0
4,Microsoft Office software,software,0
4,Microsoft Outlook,software,1
5,Critical Thinking,essential,1
5,Reading Comprehension,essential,1
5,Active Listening,essential,1
5,Speaking,essential,0
5,Active Learning,essential,0
5,Amazon DynamoDB,software,1
5,Amazon Elastic Compute Cloud EC2,software,1
5,Amazon Redshift,software,1
5,Amazon Web Services AWS CloudFormation,software,1
5,Amazon Web Services AWS software,software,1
7,Reading Comprehension,essential,1
7,Active Listening,essential,1
7,Critical Thinking,essential,1
7,Speaking,essential,0
7,Science,essential,1
7,Google Docs,software,0
7,MEDITECH software,software,1
7,Microsoft Excel,software,1
7,Microsoft Office software,software,1
7,Microsoft Outlook,software,1
8,Reading Comprehension,essential,0
8,Active Listening,essential,0
8,Critical Thinking,essential,0
8,Speaking,essential,0
8,Science,essential,1
8,Google Docs,software,0
8,MEDITECH software,software,1
8,Microsoft Excel,software,1
8,Microsoft Office software,software,1
8,Microsoft Outlook,software,1
10,Reading Comprehension,essential,1
10,Active Listening,essential,1
10,Critical Thinking,essential,0
10,Speaking,essential,1
10,Science,essential,1
10,Google Docs,software,0
10,MEDITECH software,software,1
10,Microsoft Excel,software,0
10,Microsoft Office software,software,1
10,Microsoft Outlook,software,0
11,Reading Comprehension,essential,0
11,Active Listening,essential,1
11,Critical Thinking,essential,1
11,Speaking,essential,0
11,Science,essential,0
11,Google Docs,software,0
11,MEDITECH software,software,0
11,Microsoft Excel,software,1
11,Microsoft Office software,software,1
11,Microsoft Outlook,software,1
12,Critical Thinking,essential,0
12,Speaking,essential,1
12,Monitoring,essential,1
12,Reading Comprehension,essential,1
12,Active Listening,essential,1
12,Adobe Acrobat,software,1
12,Adobe After Effects,software,1
12,Adobe InDesign,software,1
12,Adobe Photoshop,software,0
12,Autodesk AutoCAD,software,1
13,Active Listening,essential,1
13,Speaking,essential,1
13,Reading Comprehension,essential,1
13,Writing,essential,1
13,Active Learning,essential,1
13,Apple macOS,software,1
13,HubSpot software,software,1
13,IBM SPSS Statistics,software,1
13,Microsoft Excel,software,1
13,Microsoft Office software,software,1
14,Reading Comprehension,essential,1
14,Active Listening,essential,1
14,Critical Thinking,essential,1
14,Speaking,essential,1
14,Science,essential,0
14,Google Docs,software,1
14,MEDITECH software,software,1
14,Microsoft Excel,software,1
14,Microsoft Office software,software,1
14,Microsoft Outlook,software,1
15,Reading Comprehension,essential,1
15,Active Listening,essential,1
15,Critical Thinking,essential,0
15,Speaking,essential,1
15,Science,essential,1
15,Google Docs,software,1
15,MEDITECH software,software,1
15,Microsoft Excel,software,1
15,Microsoft Office software,software,1
15,Microsoft Outlook,software,1
16,Critical Thinking,essential,0
16,Reading Comprehension,essential,0
16,Active Listening,essential,1
16,Speaking,essential,1
16,Active Learning,essential,1
16,Amazon DynamoDB,software,1
16,Amazon Elastic Compute Cloud EC2,software,0
16,Amazon Redshift,software,0
16,Amazon Web Services AWS CloudFormation,software,1
16,Amazon Web Services AWS software,software,1
18,Reading Comprehension,essential,1
18,Active Listening,essential,1
18,Critical Thinking,essential,1
18,Speaking,essential,1
18,Science,essential,0
18,Google Docs,software,1
18,MEDITECH software,software,0
18,Microsoft Excel,software,0
18,Microsoft Office software,software,1
18,Microsoft Outlook,software,0
19,Reading Comprehension,essential,0
19,Active Listening,essential,1
19,Critical Thinking,essential,1
19,Speaking,essential,1
19,Science,essential,1
19,Google Docs,software,1
19,MEDITECH software,software,1
19,Microsoft Excel,software,1
19,Microsoft Office software,software,1
19,Microsoft Outlook,software,1
20,Critical Thinking,essential,0
20,Speaking,essential,1
20,Monitoring,essential,1
20,Reading Comprehension,essential,1
20,Active Listening,essential,0
20,Adobe Acrobat,software,1
20,Adobe After Effects,software,1
20,Adobe InDesign,software,1
20,Adobe Photoshop,software,1
20,Autodesk AutoCAD,software,1
21,Critical Thinking,essential,1
21,Reading Comprehension,essential,1
21,Active Listening,essential,1
21,Speaking,essential,1
