# This table combines: (1) a validated ML risk model (see model_card.md), (2) real engagement survey data covering 49.7% of employees (Step 13 -- do not generalize to the rest), (3) O*NET role mappings with confidence levels ranging from very_low to medium -- none are exact matches (see data_relationships.md Open Issue #1), and (4) SYNTHETIC skill-gap and recommendation data (Steps 15-18) that has NOT been validated against real employee skill records. Sections 3 and 4 are illustrative of MVP capability, not production-ready HR guidance.
EmployeeNumber,Department,JobRole,RiskScore,RiskLevel,EngagementScore,SatisfactionScore,WorkLifeBalanceScore,ONET_Title,ONET_Confidence,SkillGapCount,SkillGapSeverity,Top3Recommendations
1,Sales,Sales Executive,0.8976,HIGH,,,,Sales Managers,low,5.0,MEDIUM,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Technical & Regulatory Documentation Analysis Workshop; Bentley MicroStation CAD: 2D/3D Infrastructure Drafting & Asset Modeling
2,Research & Development,Research Scientist,0.0959,LOW,,,,Computer and Information Research Scientists,medium,1.0,LOW,Technical & Regulatory Documentation Analysis Workshop
4,Research & Development,Laboratory Technician,0.7756,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; Google Workspace Collaboration: Document Co-Authoring & Cloud Governance"
5,Research & Development,Research Scientist,0.3311,LOW,,,,Computer and Information Research Scientists,medium,2.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Continuous Professional Learning & Rapid Skill Acquisition Frameworks
7,Research & Development,Laboratory Technician,0.7861,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,2.0,LOW,Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Google Workspace Collaboration: Document Co-Authoring & Cloud Governance
8,Research & Development,Laboratory Technician,0.2618,LOW,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,Technical & Regulatory Documentation Analysis Workshop; Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Strategic Problem Solving & Root Cause Decision Analysis Seminar
10,Research & Development,Laboratory Technician,0.4557,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,"Strategic Problem Solving & Root Cause Decision Analysis Seminar; Google Workspace Collaboration: Document Co-Authoring & Cloud Governance; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
11,Research & Development,Laboratory Technician,0.3348,LOW,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
12,Research & Development,Manufacturing Director,0.3566,LOW,,,,Industrial Production Managers,low,2.0,LOW,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Commercial Image Retouching & Asset Production with Adobe Photoshop
13,Research & Development,Healthcare Representative,0.1842,LOW,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",low,0.0,LOW,None - No skill gaps identified
14,Research & Development,Laboratory Technician,0.2989,LOW,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
15,Research & Development,Laboratory Technician,0.6654,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Strategic Problem Solving & Root Cause Decision Analysis Seminar
16,Research & Development,Research Scientist,0.3301,LOW,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Technical & Regulatory Documentation Analysis Workshop; AWS Compute Architecture: Scalable EC2 Fleet Management & Auto-Scaling
18,Research & Development,Laboratory Technician,0.2485,LOW,,,,Medical and Clinical Laboratory Technicians,medium,4.0,MEDIUM,"Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training; MEDITECH EHR Clinical Data Management & Laboratory Information Systems Track; Advanced Excel: Dynamic Arrays, Power Query & Business Financial Modeling"
19,Research & Development,Laboratory Technician,0.9727,HIGH,,,,Medical and Clinical Laboratory Technicians,medium,1.0,LOW,Technical & Regulatory Documentation Analysis Workshop
20,Research & Development,Manufacturing Director,0.2051,LOW,,,,Industrial Production Managers,low,2.0,LOW,Strategic Problem Solving & Root Cause Decision Analysis Seminar; Empathetic Leadership & Active Listening for Cross-Functional Collaboration
21,Research & Development,Research Scientist,0.2196,LOW,,,,Computer and Information Research Scientists,medium,0.0,LOW,None - No skill gaps identified
22,Research & Development,Laboratory Technician,0.3934,LOW,,,,Medical and Clinical Laboratory Technicians,medium,5.0,MEDIUM,"Technical & Regulatory Documentation Analysis Workshop; Strategic Problem Solving & Root Cause Decision Analysis Seminar; Scientific Methodology, Evidence-Based Rigor & Laboratory Standards Training"
23,Sales,Manager,0.0347,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
24,Research & Development,Research Scientist,0.511,HIGH,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Empathetic Leadership & Active Listening for Cross-Functional Collaboration; Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability
26,Research & Development,Manufacturing Director,0.0153,LOW,,,,Industrial Production Managers,low,5.0,MEDIUM,"Executive Presentation & Public Speaking Masterclass (Toastmasters / Internal Workshop); Operational Process Auditing & KPI Performance Monitoring Protocols; Corporate Layout Design, Multi-Page Publishing & Pitch Decks with InDesign"
27,Sales,Sales Representative,0.7926,HIGH,,,,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,1.0,LOW,Business & Technical Writing: Structuring Executive Summaries & Proposals
28,Research & Development,Research Director,0.0486,LOW,,,,Natural Sciences Managers,low,0.0,LOW,None - No skill gaps identified
30,Research & Development,Research Scientist,0.3341,LOW,,,,Computer and Information Research Scientists,medium,4.0,MEDIUM,Strategic Problem Solving & Root Cause Decision Analysis Seminar; AWS Compute Architecture: Scalable EC2 Fleet Management & Auto-Scaling; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
31,Research & Development,Research Scientist,0.4297,HIGH,,,,Computer and Information Research Scientists,medium,3.0,LOW,Strategic Problem Solving & Root Cause Decision Analysis Seminar; NoSQL Database Architecture with AWS DynamoDB: Modeling & Scalability; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
32,Research & Development,Manager,0.0078,LOW,,,,"Managers, All Other",very_low,,N/A - Manager,N/A - Manager (use Department-level analysis)
33,Research & Development,Research Scientist,0.8968,HIGH,,,,Computer and Information Research Scientists,medium,3.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Cloud Data Warehousing & High-Performance SQL Analytics with Amazon Redshift; AWS Infrastructure as Code: CloudFormation & CDK Automated Deployments
35,Sales,Sales Executive,0.2425,LOW,,,,Sales Managers,low,2.0,LOW,Technical & Regulatory Documentation Analysis Workshop; Adobe Creative Cloud Bootcamp: Multi-App Visual Design & Asset Management
